timestamp;Equipamento;Tipo;Modelo;HEF;HTI;HAO;HOE;HOI;HTD;HMC;HAC;MPS;MPNS;Manutenção Corretiva;Manutenção Preventiva;Manutenção Total;Horas Trabalhadas;Horas Calendario;Producao;DF;UF;RO;Produtividade;Nº Corretivas;Nº Preventivas;Nº Manutenção;MTBF;MTTR;MTBS;MTTS
fev/22;TE2949;Trator (Esteira);Caterpillar D11R;2,6;473,2;0;0;47,6;0;26,3;0;2,3;0;26,3;2,3;28,5;475,9;552;;94,80%;90,90%;86,2;;6;1;7;79,3;4,4;68;4,8
fev/22;TE2950;Trator (Esteira);Caterpillar D11R;0;0;0;0;0;0;0;0;552;0;0;552;552;0;552;;0,00%;0,00%;0;;0;1;1;0;0;0;0
fev/22;TE2951;Trator (Esteira);Caterpillar D11R;0;476,4;0;0;34,5;0;0;0;0,4;40,7;0;41,1;41,1;476,4;552;;92,60%;93,20%;86,3;;0;2;2;0;0;238,2;0
fev/22;TE2952;Trator (Esteira);Caterpillar D11R;0;437,1;0;0;25,5;0;0;0;28;61,3;0;89,3;89,3;437,1;552;;83,80%;94,50%;79,2;;0;3;3;0;0;145,7;0
fev/22;TE2953;Trator (Esteira);Caterpillar D11R;0;447,2;0;0;48;0;26,3;0;30,5;0;26,3;30,5;56,8;447,2;552;;89,70%;90,30%;81;;1;2;3;447,2;26,3;149,1;56,8
fev/22;TE2954;Trator (Esteira);Caterpillar D11R;0;413,8;0;0,5;74,6;3,1;15,5;0;44,5;0;15,5;44,5;60;416,9;552;;89,10%;84,70%;75,5;;1;1;2;416,9;15,5;208,4;60
fev/22;TE2955;Trator (Esteira);Caterpillar D11R;0;417,8;0;0;36,9;0;16,5;0;80,8;0;16,5;80,8;97,3;417,8;552;;82,40%;91,90%;75,7;;4;2;6;104,4;4,1;69,6;24,3
fev/22;TE2956;Trator (Esteira);Caterpillar D11R;0;411,5;0;0,2;100,7;0;9,9;0;29,8;0;9,9;29,8;39,7;411,5;552;;92,80%;80,30%;74,5;;2;3;5;205,7;4,9;82,3;19,8
fev/22;TE2957;Trator (Esteira);Caterpillar D11R;0;482,7;0;0;45;0;0;0;24,3;0;0;24,3;24,3;482,7;552;;95,60%;91,50%;87,4;;0;2;2;0;0;241,3;0
fev/22;TE2958;Trator (Esteira);Caterpillar D11R;3,3;385,3;0;1,4;130,1;10,3;8,9;0;0,4;12,4;8,9;12,7;21,6;398,9;552;;96,10%;75,20%;72,3;;5;2;7;79,8;1,8;57;4,3
